"id","plates","genotype"
"4-246",49,"Mm"
"4-247",13,"Mm"
"4-248",14,"mm"
"4-250",65,"MM"
"4-251",63,"MM"
"4-252",69,"MM"
"4-253",61,"Mm"
"4-254",62,"Mm"
"4-255",12,"mm"
"4-256",62,"MM"
"4-257",63,"MM"
"4-258",62,"MM"
"4-259",63,"MM"
"4-260",54,"Mm"
"4-261",60,"Mm"
"4-262",64,"MM"
"4-264",41,"Mm"
"4-265",62,"MM"
"4-266",11,"mm"
"4-267",12,"mm"
"4-268",61,"Mm"
"4-269",61,"Mm"
"4-270",64,"Mm"
"4-271",67,"MM"
"4-272",12,"mm"
"4-273",14,"mm"
"4-274",66,"MM"
"4-275",12,"mm"
"4-276",54,"Mm"
"4-277",60,"MM"
"4-278",64,"Mm"
"4-279",40,"Mm"
"4-280",12,"mm"
"4-281",9,"mm"
"4-282",59,"Mm"
"4-284",45,"Mm"
"4-285",66,"MM"
"4-287",11,"mm"
"4-288",34,"Mm"
"4-289",62,"Mm"
"4-290",14,"mm"
"4-291",52,"Mm"
"4-292",17,"Mm"
"4-293",64,"Mm"
"4-294",51,"Mm"
"4-295",9,"mm"
"4-296",56,"MM"
"4-297",57,"Mm"
"4-298",9,"mm"
"4-299",62,"Mm"
"4-300",62,"MM"
"4-301",60,"Mm"
"4-302",11,"mm"
"4-303",61,"Mm"
"4-304",24,"Mm"
"4-305",62,"MM"
"4-306",12,"mm"
"4-307",10,"mm"
"4-308",60,"Mm"
"4-309",64,"MM"
"4-311",62,"Mm"
"4-312",53,"Mm"
"4-313",10,"mm"
"4-314",65,"MM"
"4-315",11,"mm"
"4-316",64,"Mm"
"4-317",37,"Mm"
"4-318",54,"Mm"
"4-320",62,"MM"
"4-321",11,"mm"
"4-322",65,"MM"
"4-323",62,"Mm"
"4-324",60,"Mm"
"4-325",14,"mm"
"4-326",62,"MM"
"4-327",62,"MM"
"4-328",13,"mm"
"4-329",63,"MM"
"4-330",64,"MM"
"4-331",64,"MM"
"4-332",24,"Mm"
"4-333",23,"Mm"
"4-334",63,"MM"
"4-335",11,"mm"
"4-336",9,"mm"
"4-337",64,"MM"
"4-338",62,"MM"
"4-339",12,"mm"
"4-340",41,"Mm"
"4-341",61,"Mm"
"4-342",59,"Mm"
"4-343",59,"Mm"
"4-344",57,"MM"
"4-345",14,"mm"
"4-346",12,"Mm"
"4-347",20,"Mm"
"4-348",42,"Mm"
"4-349",10,"Mm"
"4-350",62,"MM"
"4-351",47,"Mm"
"4-352",11,"mm"
"4-353",64,"Mm"
"4-354",64,"Mm"
"4-355",42,"Mm"
"4-356",61,"Mm"
"4-357",26,"Mm"
"4-358",27,"Mm"
"4-359",12,"mm"
"4-360",61,"MM"
"4-361",11,"mm"
"4-362",6,"mm"
"4-363",64,"Mm"
"4-364",62,"Mm"
"4-365",61,"Mm"
"4-366",14,"mm"
"4-367",60,"Mm"
"4-368",8,"mm"
"4-369",62,"MM"
"4-371",14,"mm"
"4-372",60,"Mm"
"4-373",11,"mm"
