"gene","size","name","description"
"ENSG00000007341.18",4528,"ST7L","suppression"
"ENSG00000007350.16",2642,"TKTL1","transketolase"
"ENSG00000007372.22",7290,"PAX6","paired"
"ENSG00000007376.7",2159,"RPUSD1","RNA"
"ENSG00000007384.15",2992,"RHBDF1","rhomboid"
"ENSG00000007392.16",2097,"LUC7L","LUC7"
"ENSG00000007402.11",5476,"CACNA2D2","calcium"
"ENSG00000007516.13",4732,"BAIAP3","BAI1"
"ENSG00000007520.3",1243,"TSR3","TSR3,"
"ENSG00000007541.16",3006,"PIGQ","phosphatidylinositol"
"ENSG00000007545.15",7772,"CRAMP1","cramped"
"ENSG00000007866.19",2983,"TEAD3","TEA"
"ENSG00000007908.15",3857,"SELE","selectin"
"ENSG00000007923.15",3311,"DNAJC11","DnaJ"
"ENSG00000007933.12",2087,"FMO3","flavin"
"ENSG00000007944.14",2796,"MYLIP","myosin"
"ENSG00000007952.17",2529,"NOX1","NADPH"
"ENSG00000007968.6",5191,"E2F2","E2F"
"ENSG00000008018.8",928,"PSMB1","proteasome"
"ENSG00000008056.13",3299,"SYN1","synapsin"
"ENSG00000008083.13",5755,"JARID2","jumonji"
"ENSG00000008086.11",12533,"CDKL5","cyclin"
"ENSG00000008118.9",2612,"CAMK1G","calcium/calmodulin"
"ENSG00000008128.22",2653,"CDK11A","cyclin"
"ENSG00000008130.15",3653,"NADK","NAD"
"ENSG00000008196.12",5773,"TFAP2B","transcription"
"ENSG00000008197.4",1711,"TFAP2D","transcription"
"ENSG00000008226.19",6426,"DLEC1","deleted"
"ENSG00000008256.15",4508,"CYTH3","cytohesin"
"ENSG00000008277.14",9334,"ADAM22","ADAM"
"ENSG00000008282.8",2151,"SYPL1","synaptophysin"
"ENSG00000008283.15",3200,"CYB561","cytochrome"
"ENSG00000008294.20",8273,"SPAG9","sperm"
"ENSG00000008300.16",11956,"CELSR3","cadherin"
"ENSG00000008311.14",3233,"AASS","aminoadipate-semialdehyde"
"ENSG00000008323.15",3111,"PLEKHG6","pleckstrin"
"ENSG00000008324.11",1047,"SS18L2","SS18"
"ENSG00000008382.15",1611,"MPND","MPN"
"ENSG00000008394.12",1331,"MGST1","microsomal"
"ENSG00000008405.11",3267,"CRY1","cryptochrome"
"ENSG00000008438.4",720,"PGLYRP1","peptidoglycan"
"ENSG00000008441.16",5459,"NFIX","nuclear"
"ENSG00000008513.14",6951,"ST3GAL1","ST3"
"ENSG00000008516.16",3554,"MMP25","matrix"
"ENSG00000008517.16",1272,"IL32","interleukin"
"ENSG00000008710.19",14138,"PKD1","polycystin"
"ENSG00000008735.13",3381,"MAPK8IP2","mitogen-activated"
"ENSG00000008838.19",3896,"MED24","mediator"
"ENSG00000008853.16",5451,"RHOBTB2","Rho"
"ENSG00000008869.11",6905,"HEATR5B","HEAT"
"ENSG00000008952.16",6568,"SEC62","SEC62"
"ENSG00000008988.9",1826,"RPS20","ribosomal"
"ENSG00000009307.15",4312,"CSDE1","cold"
"ENSG00000009335.17",5229,"UBE3C","ubiquitin"
"ENSG00000009413.15",10943,"REV3L","REV3"
"ENSG00000009694.13",12891,"TENM1","teneurin"
"ENSG00000009709.11",5538,"PAX7","paired"
"ENSG00000009724.16",2439,"MASP2","mannan"
"ENSG00000009765.14",8742,"IYD","iodotyrosine"
"ENSG00000009780.15",3567,"FAM76A","family"
"ENSG00000009790.14",2331,"TRAF3IP3","TRAF3"
"ENSG00000009830.11",4876,"POMT2","protein"
"ENSG00000009844.15",7028,"VTA1","vesicle"
"ENSG00000009950.15",3278,"MLXIPL","MLX"
"ENSG00000009954.10",6102,"BAZ1B","bromodomain"
"ENSG00000010017.12",3113,"RANBP9","RAN"
"ENSG00000010030.13",1776,"ETV7","ETS"
"ENSG00000010072.15",3559,"SPRTN","SprT-like"
"ENSG00000010165.19",3327,"METTL13","methyltransferase"
"ENSG00000010219.13",3272,"DYRK4","dual"
"ENSG00000010244.18",13781,"ZNF207","zinc"
"ENSG00000010256.10",1985,"UQCRC1","ubiquinol-cytochrome"
"ENSG00000010270.13",1728,"STARD3NL","STARD3"
"ENSG00000010278.13",1566,"CD9","CD9"
"ENSG00000010282.14",1865,"HHATL","hedgehog"
"ENSG00000010292.12",5548,"NCAPD2","non-SMC"
"ENSG00000010295.19",3101,"IFFO1","intermediate"
"ENSG00000010310.8",3289,"GIPR","gastric"
"ENSG00000010318.20",2130,"PHF7","PHD"
"ENSG00000010319.6",4899,"SEMA3G","semaphorin"
"ENSG00000010322.15",5238,"NISCH","nischarin"
"ENSG00000010327.10",7928,"STAB1","stabilin"
"ENSG00000010361.13",1675,"FUZ","fuzzy"
"ENSG00000010379.15",2185,"SLC6A13","solute"
"ENSG00000010404.17",7619,"IDS","iduronate"
"ENSG00000010438.16",1144,"PRSS3","serine"
"ENSG00000010539.11",3348,"ZNF200","zinc"
"ENSG00000010610.9",3114,"CD4","CD4"
"ENSG00000010626.14",1628,"LRRC23","leucine"
"ENSG00000010671.15",2767,"BTK","Bruton"
"ENSG00000010704.18",5286,"HFE","homeostatic"
"ENSG00000010803.16",3323,"SCMH1","Scm"
"ENSG00000010810.17",3628,"FYN","FYN"
"ENSG00000010818.9",10032,"HIVEP2","human"
"ENSG00000010932.16",2160,"FMO1","flavin"
"ENSG00000011007.12",5154,"ELOA","elongin"
"ENSG00000011009.10",1810,"LYPLA2","lysophospholipase"
"ENSG00000011021.21",5631,"CLCN6","chloride"
"ENSG00000011028.13",5988,"MRC2","mannose"
"ENSG00000011052.21",1193,"NME1-NME2","NME1-NME2"
"ENSG00000011083.8",3739,"SLC6A7","solute"
"ENSG00000011105.12",4323,"TSPAN9","tetraspanin"
"ENSG00000011114.14",8430,"BTBD7","BTB"
"ENSG00000011132.11",2075,"APBA3","amyloid"
"ENSG00000011143.16",2397,"MKS1","Meckel"
"ENSG00000011198.8",5366,"ABHD5","abhydrolase"
"ENSG00000011201.11",6314,"ANOS1","anosmin"
"ENSG00000011243.17",2146,"AKAP8L","A-kinase"
"ENSG00000011258.15",5382,"MBTD1","mbt"
"ENSG00000011260.13",1894,"UTP18","UTP18,"
"ENSG00000011275.18",5639,"RNF216","ring"
"ENSG00000011295.15",3002,"TTC19","tetratricopeptide"
"ENSG00000011304.19",3691,"PTBP1","polypyrimidine"
"ENSG00000011332.19",2356,"DPF1","double"
"ENSG00000011347.9",4854,"SYT7","synaptotagmin"
"ENSG00000011376.10",4744,"LARS2","leucyl-tRNA"
"ENSG00000011405.13",8227,"PIK3C2A","phosphatidylinositol-4-phosphate"
"ENSG00000011422.11",1610,"PLAUR","plasminogen"
"ENSG00000011426.10",4787,"ANLN","anillin"
"ENSG00000011451.18",6299,"WIZ","widely"
"ENSG00000011454.16",4997,"RABGAP1","RAB"
"ENSG00000011465.16",7156,"DCN","decorin"
"ENSG00000011478.11",2310,"QPCTL","glutaminyl-peptide"
"ENSG00000011485.14",2109,"PPP5C","protein"
"ENSG00000011523.13",5847,"CEP68","centrosomal"
"ENSG00000011566.14",4362,"MAP4K3","mitogen-activated"
"ENSG00000011590.13",2068,"ZBTB32","zinc"
"ENSG00000011600.11",620,"TYROBP","TYRO"
"ENSG00000011638.10",2014,"TMEM159","transmembrane"
"ENSG00000011677.12",3712,"GABRA3","gamma-aminobutyric"
"ENSG00000012048.21",7270,"BRCA1","BRCA1,"
"ENSG00000012061.15",3828,"ERCC1","ERCC"
"ENSG00000012124.16",3268,"CD22","CD22"
"ENSG00000012171.19",2958,"SEMA3B","semaphorin"
"ENSG00000012174.11",4457,"MBTPS2","membrane"
"ENSG00000012211.12",2062,"PRICKLE3","prickle"
"ENSG00000012223.12",2979,"LTF","lactotransferrin"
"ENSG00000012232.8",6483,"EXTL3","exostosin"
"ENSG00000012504.13",2884,"NR1H4","nuclear"
"ENSG00000012660.13",3081,"ELOVL5","ELOVL"
"ENSG00000012779.10",2506,"ALOX5","arachidonate"
"ENSG00000012817.15",5579,"KDM5D","lysine"
"ENSG00000012822.15",5866,"CALCOCO1","calcium"
"ENSG00000012963.14",3694,"UBR7","ubiquitin"
"ENSG00000012983.11",4354,"MAP4K5","mitogen-activated"
"ENSG00000013016.15",4636,"EHD3","EH"
"ENSG00000013275.7",1591,"PSMC4","proteasome"
"ENSG00000013288.8",7719,"MAN2B2","mannosidase"
"ENSG00000013293.5",10103,"SLC7A14","solute"
"ENSG00000013297.11",2169,"CLDN11","claudin"
"ENSG00000013306.15",1607,"SLC25A39","solute"
"ENSG00000013364.18",2925,"MVP","major"
"ENSG00000013374.16",3210,"NUB1","negative"
"ENSG00000013375.15",6107,"PGM3","phosphoglucomutase"
"ENSG00000013392.7",3744,"RWDD2A","RWD"
"ENSG00000013441.15",2026,"CLK1","CDC"
"ENSG00000013503.9",4273,"POLR3B","RNA"
"ENSG00000013523.9",5176,"ANGEL1","angel"
"ENSG00000013561.17",4235,"RNF14","ring"
"ENSG00000013563.13",3008,"DNASE1L1","deoxyribonuclease"
"ENSG00000013573.16",3751,"DDX11","DEAD/H-box"
"ENSG00000013583.8",2056,"HEBP1","heme"
"ENSG00000013588.7",7362,"GPRC5A","G"
"ENSG00000013619.13",4854,"MAMLD1","mastermind"
"ENSG00000013725.14",3252,"CD6","CD6"
"ENSG00000013810.18",2781,"TACC3","transforming"
"ENSG00000014123.9",4224,"UFL1","UFM1"
"ENSG00000014138.8",3744,"POLA2","DNA"
"ENSG00000014164.6",3280,"ZC3H3","zinc"
"ENSG00000014216.15",3086,"CAPN1","calpain"
"ENSG00000014257.15",3125,"ACPP","acid"
"ENSG00000014641.17",1650,"MDH1","malate"
"ENSG00000014824.13",6218,"SLC30A9","solute"
"ENSG00000014914.20",2827,"MTMR11","myotubularin"
"ENSG00000014919.12",2788,"COX15","COX15,"
"ENSG00000015133.18",7474,"CCDC88C","coiled-coil"
"ENSG00000015153.14",5095,"YAF2","YY1"
"ENSG00000015171.19",4229,"ZMYND11","zinc"
"ENSG00000015285.10",1849,"WAS","Wiskott-Aldrich"
"ENSG00000015413.9",1734,"DPEP1","dipeptidase"
"ENSG00000015475.18",2495,"BID","BH3"
"ENSG00000015479.18",4843,"MATR3","matrin"
"ENSG00000015520.14",5048,"NPC1L1","NPC1"
"ENSG00000015532.9",3507,"XYLT2","xylosyltransferase"
"ENSG00000015568.12",7253,"RGPD5","RANBP2-like"
"ENSG00000015592.16",2288,"STMN4","stathmin"
"ENSG00000015676.17",8256,"NUDCD3","NudC"
"ENSG00000016082.14",2459,"ISL1","ISL"
"ENSG00000016391.10",7665,"CHDH","choline"
"ENSG00000016402.13",3522,"IL20RA","interleukin"
"ENSG00000016490.15",3310,"CLCA1","chloride"
"ENSG00000016602.9",3211,"CLCA4","chloride"
"ENSG00000016864.18",1849,"GLT8D1","glycosyltransferase"
"ENSG00000017260.19",5067,"ATP2C1","ATPase"
"ENSG00000017427.16",7359,"IGF1","insulin"
"ENSG00000017483.14",2659,"SLC38A5","solute"
"ENSG00000017797.12",4368,"RALBP1","ralA"
"ENSG00000018189.12",4233,"RUFY3","RUN"
"ENSG00000018236.14",5557,"CNTN1","contactin"
"ENSG00000018280.16",3852,"SLC11A1","solute"
"ENSG00000018408.14",5030,"WWTR1","WW"
"ENSG00000018510.14",7764,"AGPS","alkylglycerone"
"ENSG00000018610.14",2372,"CXorf56","chromosome"
"ENSG00000018625.14",5421,"ATP1A2","ATPase"
"ENSG00000018699.11",2876,"TTC27","tetratricopeptide"
"ENSG00000018869.16",2824,"ZNF582","zinc"
"ENSG00000019102.11",1191,"VSIG2","V-set"
"ENSG00000019144.18",5753,"PHLDB1","pleckstrin"
"ENSG00000019169.10",1838,"MARCO","macrophage"
"ENSG00000019186.9",3262,"CYP24A1","cytochrome"
"ENSG00000019485.13",10730,"PRDM11","PR/SET"
"ENSG00000019505.7",5144,"SYT13","synaptotagmin"
"ENSG00000019549.10",2428,"SNAI2","snail"
"ENSG00000019582.14",1727,"CD74","CD74"
"ENSG00000019991.16",5987,"HGF","hepatocyte"
"ENSG00000019995.6",5695,"ZRANB1","zinc"
"ENSG00000020129.15",3683,"NCDN","neurochondrin"
"ENSG00000020181.17",6270,"ADGRA2","adhesion"
"ENSG00000020256.19",3264,"ZFP64","ZFP64"
"ENSG00000020426.10",2635,"MNAT1","MNAT1,"
"ENSG00000020577.13",6833,"SAMD4A","sterile"
"ENSG00000020633.18",4340,"RUNX3","runt"
"ENSG00000020922.12",6897,"MRE11","MRE11"
"ENSG00000021300.13",2380,"PLEKHB1","pleckstrin"
"ENSG00000021355.12",2619,"SERPINB1","serpin"
"ENSG00000021461.16",1709,"CYP3A43","cytochrome"
"ENSG00000021488.12",1761,"SLC7A9","solute"
"ENSG00000021574.12",5277,"SPAST","spastin"
"ENSG00000021645.18",8504,"NRXN3","neurexin"
"ENSG00000021762.19",3889,"OSBPL5","oxysterol"
"ENSG00000021776.10",9694,"AQR","aquarius"
"ENSG00000021826.15",5821,"CPS1","carbamoyl-phosphate"
"ENSG00000021852.12",2382,"C8B","complement"
"ENSG00000022267.16",2878,"FHL1","four"
"ENSG00000022277.12",2212,"RTF2","replication"
"ENSG00000022355.16",4686,"GABRA1","gamma-aminobutyric"
"ENSG00000022556.15",3576,"NLRP2","NLR"
"ENSG00000022567.9",7483,"SLC45A4","solute"
"ENSG00000022840.15",3825,"RNF10","ring"
"ENSG00000022976.15",2987,"ZNF839","zinc"
"ENSG00000023041.11",2906,"ZDHHC6","zinc"
"ENSG00000023171.17",7723,"GRAMD1B","GRAM"
"ENSG00000023191.16",2973,"RNH1","ribonuclease/angiogenin"
"ENSG00000023228.13",11819,"NDUFS1","NADH:ubiquinone"
"ENSG00000023287.12",6635,"RB1CC1","RB1"
"ENSG00000023318.7",4854,"ERP44","endoplasmic"
"ENSG00000023330.14",2430,"ALAS1","5'-aminolevulinate"
"ENSG00000023445.13",5197,"BIRC3","baculoviral"
"ENSG00000023516.8",9920,"AKAP11","A-kinase"
"ENSG00000023572.9",1131,"GLRX2","glutaredoxin"
"ENSG00000023608.4",2656,"SNAPC1","small"
"ENSG00000023697.12",1705,"DERA","deoxyribose-phosphate"
"ENSG00000023734.10",1866,"STRAP","serine/threonine"
"ENSG00000023839.10",5312,"ABCC2","ATP"
"ENSG00000023892.10",2262,"DEF6","DEF6,"
"ENSG00000023902.13",2050,"PLEKHO1","pleckstrin"
"ENSG00000023909.9",4857,"GCLM","glutamate-cysteine"
"ENSG00000024048.10",7857,"UBR2","ubiquitin"
"ENSG00000024422.11",3585,"EHD2","EH"
"ENSG00000024526.16",5331,"DEPDC1","DEP"
"ENSG00000024862.17",1505,"CCDC28A","coiled-coil"
"ENSG00000025039.14",4900,"RRAGD","Ras"
"ENSG00000025156.12",2643,"HSF2","heat"
"ENSG00000025293.16",5922,"PHF20","PHD"
"ENSG00000025423.11",1751,"HSD17B6","hydroxysteroid"
"ENSG00000025434.18",2731,"NR1H3","nuclear"
"ENSG00000025708.13",1630,"TYMP","thymidine"
"ENSG00000025770.18",2077,"NCAPH2","non-SMC"
"ENSG00000025772.7",2062,"TOMM34","translocase"
"ENSG00000025796.13",6411,"SEC63","SEC63"
"ENSG00000025800.13",7378,"KPNA6","karyopherin"
"ENSG00000026025.15",2135,"VIM","vimentin"
"ENSG00000026103.21",2563,"FAS","Fas"
"ENSG00000026297.15",1417,"RNASET2","ribonuclease"
"ENSG00000026508.18",5732,"CD44","CD44"
"ENSG00000026559.13",2211,"KCNG1","potassium"
"ENSG00000026652.13",7865,"AGPAT4","1-acylglycerol-3-phosphate"
"ENSG00000026751.16",2689,"SLAMF7","SLAM"
"ENSG00000026950.16",3434,"BTN3A1","butyrophilin"
"ENSG00000027001.9",2400,"MIPEP","mitochondrial"
"ENSG00000027075.14",3582,"PRKCH","protein"
"ENSG00000027644.4",5101,"INSRR","insulin"
"ENSG00000027697.14",2519,"IFNGR1","interferon"
"ENSG00000027847.13",1747,"B4GALT7","beta-1,4-galactosyltransferase"
"ENSG00000027869.11",1673,"SH2D2A","SH2"
"ENSG00000028116.16",2446,"VRK2","vaccinia"
"ENSG00000028137.18",3683,"TNFRSF1B","TNF"
"ENSG00000028203.17",4562,"VEZT","vezatin,"
"ENSG00000028277.21",6901,"POU2F2","POU"
"ENSG00000028310.17",2156,"BRD9","bromodomain"
"ENSG00000028528.14",3373,"SNX1","sorting"
"ENSG00000028839.9",4228,"TBPL1","TATA-box"
"ENSG00000029153.14",6785,"ARNTL2","aryl"
"ENSG00000029363.16",7263,"BCLAF1","BCL2"
"ENSG00000029364.11",5192,"SLC39A9","solute"
"ENSG00000029534.20",8478,"ANK1","ankyrin"
"ENSG00000029559.6",1546,"IBSP","integrin"
"ENSG00000029639.10",1424,"TFB1M","transcription"
"ENSG00000029725.16",5365,"RABEP1","rabaptin,"
"ENSG00000029993.14",3560,"HMGB3","high"
"ENSG00000030066.13",5376,"NUP160","nucleoporin"
"ENSG00000030110.12",2212,"BAK1","BCL2"
"ENSG00000030304.13",3344,"MUSK","muscle"
"ENSG00000030419.16",9350,"IKZF2","IKAROS"
"ENSG00000030582.17",2342,"GRN","granulin"
"ENSG00000031003.10",5465,"FAM13B","family"
"ENSG00000031081.10",9317,"ARHGAP31","Rho"
"ENSG00000031691.6",1733,"CENPQ","centromere"
"ENSG00000031698.12",1882,"SARS","seryl-tRNA"
"ENSG00000031823.14",3233,"RANBP3","RAN"
"ENSG00000032219.18",5891,"ARID4A","AT-rich"
"ENSG00000032389.12",1795,"EIPR1","EARP"
"ENSG00000032444.16",4617,"PNPLA6","patatin"
"ENSG00000032742.17",3091,"IFT88","intraflagellar"
"ENSG00000033011.11",2671,"ALG1","ALG1,"
"ENSG00000033030.13",5663,"ZCCHC8","zinc"
"ENSG00000033050.8",3546,"ABCF2","ATP"
"ENSG00000033100.16",3978,"CHPF2","chondroitin"
